Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,AvgBlinkDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp
6Y,HongKong_3,1,0,25,327.33333333333337,3,155.55555555555557,3.4732999250475456,0.0893911645591242,0,4.634458403281114,0.1401723852828317
6Y,Vietnam_2,1,0,19,446.49122807017545,2,158.33333333333334,3.759600396379441,0.1242194125378729,5,6.57507857658787,0.1150598648206277
6Y,London_1,1,0,22,380.3030303030304,3,150.00000000000003,3.234452518909181,0.365345965576861,2,5.479741230775049,0.1500188201769301
6Y,Singapore_3,1,0,18,467.5925925925927,1,466.6666666666667,3.170522223876524,0.089624207210434,0,7.21058390103225,0.204557852986599
6Y,NYC_1,1,0,33,233.33333333333337,3,211.11111111111111,3.691842848254789,0.1413177195612014,0,6.88857332915962,0.2349370621450673
6Y,Mexico_3,0,1,26,298.7179487179488,3,155.55555555555557,3.5041500966728463,0.2132380926658008,0,7.711429063609002,0.2166768280820886
6Y,Brazil_1,0,1,23,358.69565217391306,2,225.00000000000003,3.496052502743347,0.1109639799700927,7,6.623750916481274,0.1784931560562486
6Y,London_3,1,0,17,517.6470588235294,1,150.0,3.7069348433699503,0.102476247874466,1,4.606087804980913,0.1871833835240378
6Y,Sweden_2,0,1,29,287.35632183908046,1,116.66666666666669,3.0878272700954126,0.1936406105208042,2,5.296969254746422,0.1972773476864295
6Y,Russia_1,1,0,25,277.33333333333337,3,122.22222222222224,3.6169801362803287,0.2565712855388932,2,8.612309250177901,0.1852431374874741
6Y,Italy_1,0,1,27,307.4074074074074,1,100.0,3.5499703543526784,0.1986868996046218,0,5.326683862830697,0.1641098804076088
6Y,France_1,0,1,18,462.0370370370371,1,383.33333333333337,3.7427328950041656,0.3066850137492429,0,6.362580132667697,0.271389058309225
6Y,Singapore_1,0,1,24,370.8333333333333,1,133.33333333333334,3.3477975742236987,0.2261372634129393,0,3.301739855087133,0.1254725876295256
6Y,HongKong_1,1,0,38,191.66666666666669,1,100.0,3.916369535485092,0.0684394401980054,3,8.93968625654076,0.2451029596293359
7Y,Mexico_1,1,0,21,261.9047619047619,6,105.55555555555556,4.427711814962407,0.0579912134934612,0,5.604919719216738,0.1554976463200728
7Y,Italy_4,1,0,27,254.320987654321,9,116.66666666666669,4.239081299282763,0.0607500582508462,4,5.587100929276547,0.1595481844918116
7Y,London_3,1,0,28,245.8333333333333,4,83.33333333333334,4.396862702427942,0.0692049854741532,10,5.335047113846366,0.2247527731959869
7Y,Italy_1,1,0,23,271.7391304347826,9,142.5925925925926,4.622545657589716,0.0634845884621901,21,4.756248012690041,0.1949586043024902
7Y,Russia_3,1,0,22,336.36363636363643,6,88.8888888888889,3.986914094793733,0.0625391485945841,1,4.0919404727322055,0.1621429884412854
7Y,Singapore_3,1,0,26,275.00000000000006,1,83.33333333333334,4.478436392706794,0.1396702343587163,6,4.33060941902468,0.1908793297622771
7Y,Vietnam_1,0,1,24,263.19444444444446,6,130.55555555555557,4.382611272982127,0.0611789069030021,29,4.276495224161765,0.2563843948724235
7Y,HongKong_3,1,0,28,257.1428571428572,4,104.16666666666669,3.8439561679618848,0.0431926286998138,4,4.8567836099214565,0.1713743570667414
7Y,HongKong_1,1,0,19,324.56140350877195,7,97.61904761904762,3.845998330236773,0.0774111111602313,2,7.470240222966725,0.1889561575379714
7Y,Russia_1,1,0,26,231.4102564102564,10,125.0,4.298596690251277,0.056207983245149,6,6.434654679379944,0.2283005524004694
7Y,Brazil_1,1,0,25,294.00000000000006,4,100.0,4.056219439514911,0.0276969888873222,0,4.323991029704378,0.1421421736160836
7Y,France_3,1,0,22,308.33333333333337,5,110.0,3.90269179057738,0.0635902351499462,3,5.908732270422426,0.2119171738859316
7Y,India_3,0,1,23,257.9710144927536,7,130.95238095238096,4.26129978081397,0.0674937659783853,2,5.556432273230064,0.2114930177430818
7Y,Mexico_3,1,0,26,230.1282051282052,4,120.83333333333334,4.00999814629976,0.0729603399410515,5,3.9796749109753553,0.1490131667352095
7Y,London_1,1,0,24,281.94444444444446,4,120.83333333333334,4.072483569119884,0.0938454683351121,3,4.635902393772099,0.1966362805205762
7Y,Singapore_1,1,0,23,282.60869565217394,3,144.44444444444446,3.872552797566875,0.0994551160798607,5,6.0330713728290055,0.2511985074166324
7Y,Sweden_4,0,1,23,288.4057971014493,3,127.7777777777778,4.497767985590203,0.0767846792941307,2,4.71210708578331,0.1718810280910709
7Y,France_1,1,0,19,334.2105263157895,10,135.0,4.520705088944334,0.1050777016146276,4,5.259071648225257,0.2004022280454364
7Y,India_1,1,0,22,299.24242424242425,6,116.66666666666669,4.39640627625168,0.0281373344971211,0,6.385360773413352,0.1905003683339546
7Y,NYC_4,1,0,22,345.4545454545455,4,145.83333333333334,3.859194622208587,0.0458258191211722,0,4.019783365507079,0.1664036771795302
7Y,Brazil_3,1,0,24,296.52777777777777,4,145.83333333333334,3.9110416146211846,0.0635505360236972,9,5.780920577180891,0.2325749051269188
7Y,Vietnam_2,1,0,22,346.969696969697,3,155.55555555555557,4.13103279700646,0.1579334743212619,0,6.077171003483299,0.2450822058673757
7Y,Sweden_2,1,0,21,327.7777777777778,3,94.44444444444446,4.16435963931059,0.0801328287720184,4,8.356597832533918,0.1926430833999064
7Y,NYC_1,1,0,33,184.34343434343435,3,94.44444444444446,4.294452680435973,0.0567482235824604,6,8.317948442482477,0.2621218205902558
8I,Brazil_1,1,0,26,326.9230769230769,0,0.0,3.9398396466229415,0.0783882061545509,5,8.06025920999263,0.2309132906435075
8I,Italy_4,1,0,22,337.1212121212121,3,277.77777777777777,3.90979374915198,0.1294793168472854,5,7.886759738251943,0.20271217937587
8I,France_1,1,0,19,478.07017543859655,0,0.0,3.7308736046486985,0.0787851838726395,0,5.294250760803346,0.1271585003123907
8I,London_3,1,0,25,330.0,0,0.0,3.511979839145737,0.0220873992251073,0,8.025275611828663,0.2058455904608471
8I,Italy_1,1,0,24,371.5277777777778,0,0.0,3.609921019280975,0.0686754230742408,0,6.846945730956856,0.237210779757317
8I,Singapore_3,1,0,22,347.72727272727275,2,266.6666666666667,3.375732233826543,0.0224425415709306,0,6.935126776159031,0.1804801017776242
8I,Brazil_3,1,0,24,343.0555555555556,1,266.6666666666667,3.5083662472230053,0.0124544957339814,0,3.8899513776832846,0.2119411456164348
8I,Russia_1,1,0,27,316.0493827160494,1,100.0,4.010166336318194,0.0665831520159683,0,4.674043253412598,0.1209067810768306
8I,Russia_3,1,0,25,345.33333333333337,0,0.0,3.648383724868596,0.0406496093433228,0,8.277981967639336,0.221227883493359
8I,Sweden_4,1,0,25,346.66666666666674,0,0.0,3.682206878662109,0.0253433137963944,7,3.94070836611936,0.212760701428306
8I,Vietnam_2,1,0,26,319.8717948717949,1,133.33333333333334,3.5675835819567663,0.1066106860052895,13,5.341736924705482,0.2225473951097533
8I,India_3,1,0,13,729.4871794871796,0,0.0,3.666217702229818,0.0460419327205951,0,3.862708109567652,0.140982120677454
8I,London_1,1,0,25,341.33333333333337,1,100.0,3.461036785228832,0.0607082526484641,0,6.575981126991922,0.1870372433839311
8I,Mexico_1,1,0,21,394.44444444444446,2,125.0,4.066459603505592,0.1215769142490716,0,6.069778148798834,0.2004838200962799
8I,Sweden_2,1,0,20,454.1666666666667,1,116.66666666666669,3.917621541063871,0.0429663181032665,0,6.190678428652947,0.1802296726720724
8I,India_1,1,0,21,439.6825396825397,0,0.0,3.5393534088134766,0.0310106264158577,0,2.9851405776705766,0.1273182629595915
8I,HongKong_1,1,0,27,300.00000000000006,2,91.66666666666669,3.722288018373965,0.0973934554343145,2,7.543841869853407,0.2044875696554584
8I,Mexico_3,1,0,26,329.4871794871796,0,0.0,3.870918222893042,0.0630917975620903,0,7.129024337624603,0.2564558220745589
8I,Singapore_1,1,0,25,351.33333333333337,0,0.0,3.820209815227528,0.0524095488669312,0,6.267010384557928,0.2276736173106494
8I,HongKong_3,1,0,23,384.7826086956522,1,116.66666666666669,4.288615631774799,0.0778075007227207,0,5.875430403839585,0.1948885080585128
8I,NYC_1,1,0,23,355.07246376811594,2,158.33333333333334,4.102732729704484,0.0696187682471376,2,8.59413893329721,0.1989083404564862
8I,NYC_4,1,0,20,420.83333333333337,0,0.0,3.925091319973186,0.0827580225891373,2,10.07609193055486,0.1886615927583837
8I,Vietnam_1,1,0,18,468.5185185185185,3,133.33333333333334,3.780689841822574,0.0554872348227137,0,5.506698768096971,0.1440002435249801
8I,France_3,1,0,36,209.25925925925927,0,0.0,4.120768638506328,0.0394419533980665,29,10.1847051186828,0.2930586459166059
9T,London_1,0,1,24,210.41666666666663,11,172.72727272727275,3.204593507133596,0.0329473948728628,15,8.93136571233305,0.237705959874805
9T,France_3,1,0,28,217.2619047619048,11,154.54545454545456,3.31539359044547,0.0596373568788654,10,6.827356918657317,0.2278442061607777
9T,Vietnam_2,1,0,24,220.8333333333333,10,145.0,3.2632504229991146,0.0486505203919668,22,8.237397935673433,0.241003620035445
9T,NYC_4,1,0,27,208.641975308642,10,166.66666666666669,3.262390969016335,0.0560802958011736,13,6.162718337483659,0.1825675792574038
9T,HongKong_1,1,0,22,200.7575757575757,13,176.92307692307693,3.2601594422992908,0.042814885893694,51,10.77549924376162,0.2257602830683083
9T,Italy_1,0,1,25,178.66666666666669,9,175.92592592592595,3.1815205891927083,0.1598977776672239,14,5.81595961712394,0.2098066333952921
9T,Brazil_3,1,0,24,190.97222222222223,14,161.90476190476193,3.274283747787309,0.0654388279471096,29,6.87074354464576,0.1839736426149334
9T,India_1,1,0,22,219.6969696969697,14,179.7619047619048,3.197759198712873,0.0862117868180586,14,7.208318651222738,0.2267748897994319
