Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,ClosedEyeDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp,LastFixDur,NumFix_Sim,AvgFixDisp_Sim,AvgFixDur_Sim,CoveredArea,det,revdet,meanline,maxline,ent,relent,lam,tt,corm
37T,Singapore_3,1,0,33,300.0,15,187.7777777777778,2.82534124697091,0.0242024516194119,0,5.655892723785977,0.2055863163403852,183.3333333333333,20.0,327.8034322585819,495.0,0.2350701388888889,43.68715083798882,,1629.1666666666663,2650.0,2.0,0.1758824353792129,28.47548690396239,1413.3333333333333,7.887569832402233
37T,Vietnam_2,1,0,37,289.1891891891892,16,137.5,2.905390116506325,0.0371959657775625,3,3.921888180745148,0.165798922461728,433.33333333333337,19.0,227.4097428320609,563.1578947368423,0.2053465277777778,59.99999999999999,59.26553672316385,1966.6666666666663,4216.666666666667,3.1699250014423126,0.2632490249250761,48.19651741293532,1684.7826086956522,9.01443816698054
37T,India_3,1,0,32,290.1041666666667,19,166.66666666666669,2.9845749546104754,0.039346845196037,0,4.463108451257245,0.1159789942292056,533.3333333333334,17.0,216.44665635286515,546.0784313725491,0.1836145833333333,48.60635696821516,26.797066014669927,1840.7407407407404,3466.6666666666665,3.1699250014423126,0.2695762672307325,40.46887009992313,1949.9999999999995,17.769540184557144
37T,Sweden_4,1,0,43,247.67441860465115,13,137.17948717948718,2.7684535762103417,0.0528578538153085,2,4.785497257118232,0.2733209300026143,266.6666666666667,28.0,413.9171799431893,380.3571428571428,0.3230756944444444,23.91304347826087,19.56521739130435,1466.6666666666663,1633.3333333333333,1.0,0.0936968272263394,14.654545454545456,1119.4444444444443,6.288819875776399
37T,Brazil_3,1,0,45,230.3703703703704,13,138.46153846153848,2.8622455330331262,0.0282035882708703,5,5.87155791897433,0.208127918013843,133.33333333333334,27.0,301.3773230156419,383.9506172839505,0.2898701388888889,30.75208913649025,20.111420612813365,1533.3333333333333,2583.333333333333,2.584962500721156,0.2280622640484725,39.98758791890774,1789.8148148148148,19.09090909090909
37T,Brazil_1,1,0,41,244.30894308943093,16,167.70833333333334,2.978582304667651,0.0266235300385288,2,5.122512950452646,0.2338846177839147,66.66666666666667,23.0,347.3408604523041,435.5072463768116,0.2773784722222222,48.52670349907918,29.650092081031307,1254.7619047619046,3166.666666666666,2.807354922057604,0.2414244952499065,33.58032009484291,1180.208333333333,9.371546961325963
37T,Singapore_1,1,0,40,239.5833333333333,17,171.56862745098042,3.203558124653653,0.0913147071992191,4,4.341950083238187,0.2371127855558548,116.66666666666669,14.0,393.8230972443388,684.5238095238095,0.2269861111111111,47.21189591078067,27.58364312267658,1058.3333333333333,1633.333333333333,3.121928094887363,0.2925147573197162,44.86979166666666,1148.6666666666663,10.49852254313221
37T,Mexico_3,1,0,37,277.02702702702703,13,175.64102564102566,2.9760630996324133,0.0728513490835336,1,5.373854600859887,0.2300263270456991,150.0,18.0,421.5592202011252,569.4444444444446,0.2530861111111111,56.91382765531063,41.88376753507014,3155.555555555555,4500.0,1.584962500721156,0.1306066535013629,39.18164910105395,2340.740740740741,7.826764640391894
37T,HongKong_1,1,0,32,333.8541666666667,17,142.15686274509807,2.7615961737594805,0.0293870422987185,1,5.413964110751468,0.1782296623290635,216.66666666666669,20.0,294.12146029589064,534.1666666666667,0.2136631944444444,27.30593607305936,6.484018264840183,2491.6666666666665,2983.333333333333,1.0,0.0866384020985015,22.724654377880185,1643.75,24.374723817940787
37T,Russia_3,1,0,36,269.44444444444446,20,145.83333333333334,3.3290332562357023,0.1484403406364529,2,5.322273757859136,0.203461946285623,133.33333333333334,25.0,340.36952554620336,388.0,0.2414395833333333,49.761222540592165,17.574021012416427,1447.222222222222,2083.333333333333,2.584962500721156,0.2344852997468036,40.08594229588704,1209.2592592592591,10.915541001500886
37T,France_1,1,0,37,257.20720720720726,19,161.40350877192984,2.984069504551381,0.1900336762332356,1,4.876962010459027,0.2549779375257616,50.0,21.0,387.62588161084193,453.1746031746033,0.2743152777777777,21.072088724584106,8.8724584103512,1900.0,1900.0,0.0,0.0,19.06474820143885,1177.7777777777776,8.009858287122611
37T,London_1,1,0,44,194.3181818181818,22,127.27272727272728,2.86687600301944,0.1545945504244331,32,7.573490448051601,0.291677971720698,116.66666666666669,29.0,447.3541902703533,294.82758620689657,0.3040861111111111,6.238532110091742,9.724770642201834,566.6666666666665,566.6666666666665,0.0,0.0,8.648393194706994,1016.6666666666664,19.441007040751018
38T,HongKong_1,1,0,38,335.08771929824564,3,72.22222222222223,3.9066661942476606,0.0876065496045366,0,7.108340622262943,0.2407960226446717,200.0,29.0,383.8355605554627,439.0804597701147,0.2757888888888888,13.533834586466162,29.001074113856067,1049.9999999999995,1066.6666666666663,1.0,0.0994278866896053,13.53982300884956,1092.857142857143,23.81920051092984
38T,London_3,0,1,42,299.2063492063492,2,100.0,3.658011504198008,0.0511162796261579,2,6.541976211267997,0.2291313372330287,500.00000000000006,29.0,431.033204981514,433.3333333333333,0.3301097222222222,9.884467265725288,15.917843388960206,1283.333333333333,1283.333333333333,0.0,0.0,11.61121983039791,1483.3333333333333,18.95801371364163
38T,HongKong_3,1,0,36,367.1296296296297,0,0.0,3.673997196465432,0.0425882719782023,0,6.260283246394923,0.214307630888486,133.33333333333334,29.0,335.5498110046348,455.7471264367816,0.2950333333333333,,,,,,,6.458055925432759,1616.6666666666667,17.936731815434214
38T,Mexico_3,1,0,36,372.6851851851852,0,0.0,3.8723719448513454,0.0738330253823783,2,5.57146162458038,0.1832450341327989,416.6666666666667,31.0,299.87748611901617,432.7956989247312,0.2400166666666666,20.65217391304348,26.666666666666664,1583.3333333333333,2000.0,1.584962500721156,0.1445465963928243,15.675057208237986,1630.952380952381,15.2463768115942
38T,Italy_4,0,1,38,345.6140350877193,1,83.33333333333334,3.5772328911340825,0.2994003173943061,0,5.697583927473207,0.2216885140299938,383.33333333333337,16.0,424.2662038485218,820.8333333333333,0.2229965277777778,36.82955899880811,25.02979737783076,1716.6666666666667,2333.333333333333,2.584962500721156,0.2310568970496827,27.676399026763992,1750.0,24.338820345971715
38T,Singapore_3,1,0,41,308.5365853658537,1,133.33333333333334,3.437828595450755,0.095399782127948,2,6.125977127174076,0.2664034453115732,150.0,25.0,398.9462405539071,506.00000000000017,0.3265076388888889,13.048635824436534,,916.6666666666664,1150.0,1.0,0.0983655280630923,20.380774032459424,1554.7619047619046,19.16073546856465
38T,Brazil_1,0,1,30,442.2222222222223,1,183.3333333333333,3.4763524723160497,0.2459373186535186,0,5.656009854934568,0.2017383491557465,466.6666666666667,23.0,363.1628510302335,576.8115942028985,0.2049979166666666,63.96588486140725,46.19758351101634,3000.0,4566.666666666666,2.321928094887362,0.1910012848563297,42.623694961416255,2845.454545454545,10.513932799058892
38T,Russia_1,1,0,41,316.6666666666667,1,100.0,3.510287396542661,0.0901259178689723,0,5.644208176334319,0.1860844686649845,50.0,25.0,345.1205535620852,519.3333333333334,0.2669479166666667,43.000000000000014,24.600000000000005,1592.5925925925926,3000.0,3.1699250014423126,0.2744460650903128,32.727599856063335,1783.3333333333333,22.992500000000003
38T,Vietnam_1,1,0,37,347.29729729729735,1,150.0,3.718831363025013,0.3533612748609565,0,6.719902220329676,0.1685047187938839,83.33333333333334,29.0,294.672147006542,443.1034482758622,0.2189,22.33834095362508,11.495754408883084,1424.9999999999998,1666.6666666666663,2.0,0.1868829824378101,12.315377932232842,1575.0,29.960447057115907
38T,London_1,0,1,28,464.28571428571433,1,266.6666666666667,3.6758857353826704,0.1415082203002535,10,5.339879441058554,0.1640172250538751,133.33333333333334,17.0,351.04901344868495,764.7058823529412,0.1779854166666666,47.91808873720136,29.28327645051195,2924.9999999999995,4666.666666666666,2.0,0.1640976156060599,31.625835189309576,2958.333333333333,12.759448868663885
38T,NYC_4,0,1,38,340.35087719298247,0,0.0,3.6621862151212072,0.2378123554258363,9,6.22407346526063,0.1845961216669696,366.6666666666667,26.0,317.0814173922154,497.4358974358975,0.2620840277777778,36.13559322033898,21.559322033898304,1776.6666666666663,2683.333333333333,2.321928094887362,0.2038697406120742,26.27721012883163,1792.4242424242425,24.25469537333944
